DATE,ASHMA
1945-10-01,18706.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,23100.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,28267.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,33422.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,37406.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,45250.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,51792.00
1952-01-01,53066.00
1952-04-01,54798.00
1952-07-01,56640.00
1952-10-01,58416.00
1953-01-01,60006.00
1953-04-01,62225.00
1953-07-01,64205.00
1953-10-01,65938.00
1954-01-01,67351.00
1954-04-01,69614.00
1954-07-01,72336.00
1954-10-01,75356.00
1955-01-01,78237.00
1955-04-01,81697.00
1955-07-01,85032.00
1955-10-01,87936.00
1956-01-01,90356.00
1956-04-01,93327.00
1956-07-01,96174.00
1956-10-01,98745.00
1957-01-01,100851.00
1957-04-01,103039.00
1957-07-01,105397.00
1957-10-01,107374.00
1958-01-01,108975.00
1958-04-01,111142.00
1958-07-01,114035.00
1958-10-01,117177.00
1959-01-01,119935.00
1959-04-01,123346.00
1959-07-01,127007.00
1959-10-01,130099.00
1960-01-01,132580.00
1960-04-01,135366.00
1960-07-01,138582.00
1960-10-01,141378.00
1961-01-01,143645.00
1961-04-01,146603.00
1961-07-01,150179.00
1961-10-01,154027.00
1962-01-01,156488.00
1962-04-01,160237.00
1962-07-01,164345.00
1962-10-01,168307.00
1963-01-01,171352.00
1963-04-01,175801.00
1963-07-01,180662.00
1963-10-01,185106.00
1964-01-01,188776.00
1964-04-01,193368.00
1964-07-01,198076.00
1964-10-01,202335.00
1965-01-01,205891.00
1965-04-01,210329.00
1965-07-01,215042.00
1965-10-01,219449.00
1966-01-01,223358.00
1966-04-01,227232.00
1966-07-01,230272.00
1966-10-01,232742.00
1967-01-01,234221.00
1967-04-01,237076.00
1967-07-01,241547.00
1967-10-01,245974.00
1968-01-01,249378.00
1968-04-01,253675.00
1968-07-01,258183.00
1968-10-01,262934.00
1969-01-01,264857.00
1969-04-01,269738.00
1969-07-01,274512.00
1969-10-01,278689.00
1970-01-01,280971.00
1970-04-01,284366.00
1970-07-01,288349.00
1970-10-01,292240.00
1971-01-01,296349.00
1971-04-01,303206.00
1971-07-01,311379.00
1971-10-01,318411.00
1972-01-01,325753.00
1972-04-01,335726.00
1972-07-01,347347.00
1972-10-01,357381.00
1973-01-01,365955.00
1973-04-01,378024.00
1973-07-01,389894.00
1973-10-01,399840.00
1974-01-01,407909.00
1974-04-01,418838.00
1974-07-01,428859.00
1974-10-01,435176.00
1975-01-01,439951.00
1975-04-01,450826.00
1975-07-01,462776.00
1975-10-01,474003.00
1976-01-01,486205.00
1976-04-01,501045.00
1976-07-01,518784.00
1976-10-01,535022.00
1977-01-01,550282.00
1977-04-01,575838.00
1977-07-01,603197.00
1977-10-01,627724.00
1978-01-01,646079.00
1978-04-01,674540.00
1978-07-01,707359.00
1978-10-01,738254.00
1979-01-01,762873.00
1979-04-01,794869.00
1979-07-01,828850.00
1979-10-01,855779.00
1980-01-01,886093.00
1980-04-01,902289.00
1980-07-01,931530.00
1980-10-01,957912.00
1981-01-01,973129.00
1981-04-01,996937.00
1981-07-01,1014571.00
1981-10-01,1030213.00
1982-01-01,1041585.00
1982-04-01,1055044.00
1982-07-01,1055314.00
1982-10-01,1070187.00
1983-01-01,1087139.00
1983-04-01,1116296.00
1983-07-01,1153484.00
1983-10-01,1186271.00
1984-01-01,1216062.00
1984-04-01,1254448.00
1984-07-01,1289107.00
1984-10-01,1321526.00
1985-01-01,1385660.00
1985-04-01,1428061.00
1985-07-01,1477181.00
1985-10-01,1526876.00
1986-01-01,1557666.00
1986-04-01,1616328.00
1986-07-01,1683521.00
1986-10-01,1730129.00
1987-01-01,1770490.00
1987-04-01,1843953.00
1987-07-01,1898660.00
1987-10-01,1928457.00
1988-01-01,1974919.00
1988-04-01,2044958.00
1988-07-01,2105915.00
1988-10-01,2162789.00
1989-01-01,2196931.00
1989-04-01,2255378.00
1989-07-01,2321631.00
1989-10-01,2369557.00
1990-01-01,2450148.00
1990-04-01,2517151.00
1990-07-01,2567225.00
1990-10-01,2606804.00
1991-01-01,2641560.00
1991-04-01,2700538.00
1991-07-01,2722798.00
1991-10-01,2774705.00
1992-01-01,2814343.00
1992-04-01,2845786.00
1992-07-01,2899090.00
1992-10-01,2942068.00
1993-01-01,2952182.0
1993-04-01,3006466.0
1993-07-01,3058883.0
1993-10-01,3101120.0
1994-01-01,3132652.0
1994-04-01,3180197.0
1994-07-01,3230936.0
1994-10-01,3278605.0
1995-01-01,3306735.0
1995-04-01,3356631.0
1995-07-01,3413402.0
1995-10-01,3446414.0
1996-01-01,3508980.0
1996-04-01,3568551.0
1996-07-01,3633468.0
1996-10-01,3682765.0
1997-01-01,3728459.0
1997-04-01,3783051.0
1997-07-01,3875717.0
1997-10-01,3917554.0
1998-01-01,3986110.0
1998-04-01,4076856.0
1998-07-01,4168504.0
1998-10-01,4275839.0
1999-01-01,4365807.0
1999-04-01,4474352.0
1999-07-01,4606366.0
1999-10-01,4701179.0
2000-01-01,4772403.0
2000-04-01,4896598.0
2000-07-01,5020704.0
2000-10-01,5124971.0
2001-01-01,5221818.0
2001-04-01,5393894.0
2001-07-01,5553552.0
2001-10-01,5678030.0
2002-01-01,5825479.0
2002-04-01,6013375.0
2002-07-01,6222401.0
2002-10-01,6434374.0
2003-01-01,6605236.0
2003-04-01,6847172.0
2003-07-01,7076619.0
2003-10-01,7260326.0
2004-01-01,7466143.0
2004-04-01,7757555.0
2004-07-01,8024522.0
2004-10-01,8292063.0
2005-01-01,8537015.0
2005-04-01,8848576.0
2005-07-01,9166670.0
2005-10-01,9448506.0
2006-01-01,9772781.0
2006-04-01,10103493.0
2006-07-01,10363695.0
2006-10-01,10530769.0
2007-01-01,10748888.0
2007-04-01,10954663.0
2007-07-01,11143952.0
2007-10-01,11252301.0
2008-01-01,11322920.0
2008-04-01,11295115.0
2008-07-01,11251849.0
2008-10-01,11150920.0
2009-01-01,11140432.0
2009-04-01,11096591.0
2009-07-01,11018738.0
2009-10-01,10961036.0
2010-01-01,10830332.0
2010-04-01,10762904.0
2010-07-01,10690713.0
2010-10-01,10523427.0
2011-01-01,10459363.0
2011-04-01,10390906.0
2011-07-01,10333162.0
2011-10-01,10281292.0
2012-01-01,10216106.0
2012-04-01,10152832.0
2012-07-01,10105190.0
2012-10-01,10047725.0
2013-01-01,9999879.0
2013-04-01,9965129.0
2013-07-01,9975132.0
2013-10-01,9959620.0
2014-01-01,9923845.0
2014-04-01,9914037.0
2014-07-01,9924431.0
2014-10-01,9936617.0
2015-01-01,9909411.0
2015-04-01,9954437.0
2015-07-01,10004091.0
2015-10-01,10076354.0
2016-01-01,10076096.0
2016-04-01,10137065.0
2016-07-01,10220823.0
2016-10-01,10278844.0
2017-01-01,10338308.0
2017-04-01,10417101.0
2017-07-01,10510631.0
2017-10-01,10595926.0
2018-01-01,10639958.0
2018-04-01,10728413.0
2018-07-01,10831242.0
2018-10-01,10897248.0
2019-01-01,10926944.0
2019-04-01,11014080.0
2019-07-01,11115716.0
2019-10-01,11186821.0
2020-01-01,11251905.0
2020-04-01,11336949.0
2020-07-01,11504200.0
2020-10-01,11652712.0
2021-01-01,11783978.0
2021-04-01,12022165.0
2021-07-01,12271340.0
2021-10-01,12531780.0
