DATE,FBDSILQ027S
1945-10-01,1224.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,1797.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,2201.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,3093.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,3472.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,4253.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,5324.0
1952-01-01,5325.0
1952-04-01,5648.0
1952-07-01,5880.0
1952-10-01,5752.0
1953-01-01,6196.0
1953-04-01,6641.0
1953-07-01,7325.0
1953-10-01,7438.0
1954-01-01,7478.0
1954-04-01,7508.0
1954-07-01,7423.0
1954-10-01,7274.0
1955-01-01,7595.0
1955-04-01,7898.0
1955-07-01,8300.0
1955-10-01,8664.0
1956-01-01,9926.0
1956-04-01,10340.0
1956-07-01,10894.0
1956-10-01,10905.0
1957-01-01,12335.0
1957-04-01,12914.0
1957-07-01,13818.0
1957-10-01,14361.0
1958-01-01,15315.0
1958-04-01,14758.0
1958-07-01,14343.0
1958-10-01,14064.0
1959-01-01,14744.0
1959-04-01,16064.0
1959-07-01,17047.0
1959-10-01,17917.0
1960-01-01,20420.0
1960-04-01,21728.0
1960-07-01,22613.0
1960-10-01,23616.0
1961-01-01,24517.0
1961-04-01,24881.0
1961-07-01,25143.0
1961-10-01,25568.0
1962-01-01,26942.0
1962-04-01,27175.0
1962-07-01,27945.0
1962-10-01,28712.0
1963-01-01,29323.0
1963-04-01,30740.0
1963-07-01,31422.0
1963-10-01,33174.0
1964-01-01,34954.0
1964-04-01,36693.0
1964-07-01,37676.0
1964-10-01,38822.0
1965-01-01,40435.0
1965-04-01,42209.0
1965-07-01,42691.0
1965-10-01,43374.0
1966-01-01,46516.0
1966-04-01,49535.0
1966-07-01,51201.0
1966-10-01,54210.0
1967-01-01,55925.0
1967-04-01,55073.0
1967-07-01,55379.0
1967-10-01,58047.0
1968-01-01,61103.0
1968-04-01,63102.0
1968-07-01,63258.0
1968-10-01,65396.0
1969-01-01,68652.0
1969-04-01,73379.0
1969-07-01,80334.0
1969-10-01,87526.0
1970-01-01,94950.0
1970-04-01,98438.0
1970-07-01,96817.0
1970-10-01,100169.0
1971-01-01,100465.0
1971-04-01,101787.0
1971-07-01,106011.0
1971-10-01,111589.0
1972-01-01,115076.0
1972-04-01,118716.0
1972-07-01,121428.0
1972-10-01,128288.0
1973-01-01,133146.0
1973-04-01,142130.0
1973-07-01,152379.0
1973-10-01,160563.0
1974-01-01,166615.0
1974-04-01,176629.0
1974-07-01,191356.0
1974-10-01,201757.0
1975-01-01,205902.0
1975-04-01,206643.0
1975-07-01,208879.0
1975-10-01,221785.0
1976-01-01,225374.0
1976-04-01,231624.0
1976-07-01,238117.0
1976-10-01,249739.0
1977-01-01,258287.0
1977-04-01,272340.0
1977-07-01,279815.0
1977-10-01,297997.0
1978-01-01,307806.0
1978-04-01,324544.0
1978-07-01,333091.0
1978-10-01,355883.0
1979-01-01,374749.0
1979-04-01,395572.0
1979-07-01,412148.0
1979-10-01,438287.0
1980-01-01,458092.0
1980-04-01,473917.0
1980-07-01,485168.0
1980-10-01,505007.0
1981-01-01,515746.0
1981-04-01,542558.0
1981-07-01,572374.0
1981-10-01,589623.0
1982-01-01,602640.0
1982-04-01,635183.0
1982-07-01,652657.0
1982-10-01,682031.0
1983-01-01,694004.0
1983-04-01,721293.0
1983-07-01,753606.0
1983-10-01,788953.0
1984-01-01,810984.0
1984-04-01,847373.0
1984-07-01,885041.0
1984-10-01,933731.0
1985-01-01,968629.0
1985-04-01,1012689.0
1985-07-01,1064967.0
1985-10-01,1123671.0
1986-01-01,1178125.0
1986-04-01,1254627.0
1986-07-01,1334400.0
1986-10-01,1431421.0
1987-01-01,1513854.0
1987-04-01,1598584.0
1987-07-01,1667733.0
1987-10-01,1716727.0
1988-01-01,1755549.0
1988-04-01,1819895.0
1988-07-01,1870720.0
1988-10-01,1944025.0
1989-01-01,2038975.0
1989-04-01,2084215.0
1989-07-01,2124489.0
1989-10-01,2192836.0
1990-01-01,2240307.0
1990-04-01,2289771.0
1990-07-01,2340085.0
1990-10-01,2424397.0
1991-01-01,2457103.0
1991-04-01,2493698.0
1991-07-01,2545449.0
1991-10-01,2605638.0
1992-01-01,2661400.0
1992-04-01,2729022.0
1992-07-01,2796599.0
1992-10-01,2856687.0
1993-01-01,2904601.0
1993-04-01,2941039.0
1993-07-01,3047139.0
1993-10-01,3143163.0
1994-01-01,3279092.0
1994-04-01,3377811.0
1994-07-01,3474636.0
1994-10-01,3602592.0
1995-01-01,3676586.0
1995-04-01,3777932.0
1995-07-01,3896063.0
1995-10-01,4032279.0
1996-01-01,4113935.0
1996-04-01,4269796.0
1996-07-01,4366560.0
1996-10-01,4508353.0
1997-01-01,4579327.0
1997-04-01,4723790.0
1997-07-01,4804217.0
1997-10-01,4998254.0
1998-01-01,5180735.0
1998-04-01,5410979.0
1998-07-01,5625056.0
1998-10-01,5888509.0
1999-01-01,6153513.0
1999-04-01,6381516.0
1999-07-01,6605367.0
1999-10-01,6823333.0
2000-01-01,6948386.0
2000-04-01,7122490.0
2000-07-01,7315606.0
2000-10-01,7576631.0
2001-01-01,7779851.0
2001-04-01,7975518.0
2001-07-01,8236902.0
2001-10-01,8509334.0
2002-01-01,8721362.0
2002-04-01,8907656.0
2002-07-01,9093093.0
2002-10-01,9375603.0
2003-01-01,9645674.0
2003-04-01,9844327.0
2003-07-01,10099720.0
2003-10-01,10254922.0
2004-01-01,10430734.0
2004-04-01,10624282.0
2004-07-01,10856327.0
2004-10-01,11108306.0
2005-01-01,11351570.0
2005-04-01,11642384.0
2005-07-01,11707209.0
2005-10-01,12125745.0
2006-01-01,12433728.0
2006-04-01,12797384.0
2006-07-01,13042266.0
2006-10-01,13426298.0
2007-01-01,13930577.0
2007-04-01,14308514.0
2007-07-01,14747502.0
2007-10-01,15093298.0
2008-01-01,15235997.0
2008-04-01,15516119.0
2008-07-01,15444879.0
2008-10-01,15465054.0
2009-01-01,15201390.0
2009-04-01,14864926.0
2009-07-01,14598297.0
2009-10-01,14311765.0
2010-01-01,13769358.0
2010-04-01,13564057.0
2010-07-01,13402035.0
2010-10-01,13471447.0
2011-01-01,13456076.0
2011-04-01,13264610.0
2011-07-01,13080194.0
2011-10-01,12972816.0
2012-01-01,12935889.0
2012-04-01,12727098.0
2012-07-01,12823871.0
2012-10-01,12666287.0
2013-01-01,12678371.0
2013-04-01,12564696.0
2013-07-01,12496861.0
2013-10-01,12639166.0
2014-01-01,12547524.0
2014-04-01,12584566.0
2014-07-01,12644247.0
2014-10-01,12731719.0
2015-01-01,12647128.0
2015-04-01,12713246.0
2015-07-01,12745656.0
2015-10-01,12634258.0
2016-01-01,12707072.0
2016-04-01,12811783.0
2016-07-01,12952214.0
2016-10-01,12950036.0
2017-01-01,12961452.0
2017-04-01,13096114.0
2017-07-01,13210120.0
2017-10-01,13276374.0
2018-01-01,13283875.0
2018-04-01,13386629.0
2018-07-01,13476798.0
2018-10-01,13584631.0
2019-01-01,13660844.0
2019-04-01,13837605.0
2019-07-01,13911423.0
2019-10-01,13976612.0
2020-01-01,14592386.0
2020-04-01,14563344.0
2020-07-01,14596935.0
2020-10-01,14873710.0
2021-01-01,15052158.0
2021-04-01,15350444.0
2021-07-01,15452594.0
2021-10-01,15688728.0
