DATE,FBLL
1945-10-01,4468.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,3448.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,3059.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,4208.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,5145.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,7082.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,6827.00
1952-01-01,6198.00
1952-04-01,7244.00
1952-07-01,6773.00
1952-10-01,8275.00
1953-01-01,7419.00
1953-04-01,7713.00
1953-07-01,8161.00
1953-10-01,8581.00
1954-01-01,7525.00
1954-04-01,8474.00
1954-07-01,8667.00
1954-10-01,9362.00
1955-01-01,9092.00
1955-04-01,9898.00
1955-07-01,10371.00
1955-10-01,11201.00
1956-01-01,10432.00
1956-04-01,10562.00
1956-07-01,10421.00
1956-10-01,11015.00
1957-01-01,9717.00
1957-04-01,9847.00
1957-07-01,10076.00
1957-10-01,10576.00
1958-01-01,10009.00
1958-04-01,11633.00
1958-07-01,10006.00
1958-10-01,11606.00
1959-01-01,11275.00
1959-04-01,12273.00
1959-07-01,13125.00
1959-10-01,14407.00
1960-01-01,12615.00
1960-04-01,13026.00
1960-07-01,13190.00
1960-10-01,14093.00
1961-01-01,11269.00
1961-04-01,12337.00
1961-07-01,12915.00
1961-10-01,15372.00
1962-01-01,12967.00
1962-04-01,14129.00
1962-07-01,15060.00
1962-10-01,17633.00
1963-01-01,14685.00
1963-04-01,16918.00
1963-07-01,18901.00
1963-10-01,20951.00
1964-01-01,18216.00
1964-04-01,21044.00
1964-07-01,20482.00
1964-10-01,22221.00
1965-01-01,20197.00
1965-04-01,24285.00
1965-07-01,23105.00
1965-10-01,26776.00
1966-01-01,24299.00
1966-04-01,27733.00
1966-07-01,25408.00
1966-10-01,27688.00
1967-01-01,24183.00
1967-04-01,24318.00
1967-07-01,25909.00
1967-10-01,27879.00
1968-01-01,24702.00
1968-04-01,28472.00
1968-07-01,31107.00
1968-10-01,34326.00
1969-01-01,29349.00
1969-04-01,34021.00
1969-07-01,30760.00
1969-10-01,36664.00
1970-01-01,33575.00
1970-04-01,35431.00
1970-07-01,37329.00
1970-10-01,41324.00
1971-01-01,39044.00
1971-04-01,37755.00
1971-07-01,36481.00
1971-10-01,41476.00
1972-01-01,39363.00
1972-04-01,41708.00
1972-07-01,43021.00
1972-10-01,52483.00
1973-01-01,48934.00
1973-04-01,54391.00
1973-07-01,56585.00
1973-10-01,63373.00
1974-01-01,58865.0
1974-04-01,64365.0
1974-07-01,66540.0
1974-10-01,69017.0
1975-01-01,59974.0
1975-04-01,58817.0
1975-07-01,52519.0
1975-10-01,55508.0
1976-01-01,51928.0
1976-04-01,51816.0
1976-07-01,50962.0
1976-10-01,59096.0
1977-01-01,47847.0
1977-04-01,50161.0
1977-07-01,52181.0
1977-10-01,64901.0
1978-01-01,57878.0
1978-04-01,66866.0
1978-07-01,72248.0
1978-10-01,83759.0
1979-01-01,73291.0
1979-04-01,84201.0
1979-07-01,90647.0
1979-10-01,99777.0
1980-01-01,94705.0
1980-04-01,96517.0
1980-07-01,101172.0
1980-10-01,115145.0
1981-01-01,105823.0
1981-04-01,116374.0
1981-07-01,124237.0
1981-10-01,133958.0
1982-01-01,127165.0
1982-04-01,134515.0
1982-07-01,134577.0
1982-10-01,141394.0
1983-01-01,130897.0
1983-04-01,135394.0
1983-07-01,134102.0
1983-10-01,142182.0
1984-01-01,135198.0
1984-04-01,147007.0
1984-07-01,156870.0
1984-10-01,170767.0
1985-01-01,161028.0
1985-04-01,177498.0
1985-07-01,188865.0
1985-10-01,214525.0
1986-01-01,213967.0
1986-04-01,226445.0
1986-07-01,233436.0
1986-10-01,252028.0
1987-01-01,236934.0
1987-04-01,244795.0
1987-07-01,249092.0
1987-10-01,242127.0
1988-01-01,237131.0
1988-04-01,248544.0
1988-07-01,252102.0
1988-10-01,267170.0
1989-01-01,272589.0
1989-04-01,280849.0
1989-07-01,265159.0
1989-10-01,270975.0
1990-01-01,249717.0
1990-04-01,248333.0
1990-07-01,244324.0
1990-10-01,253884.0
1991-01-01,237063.0
1991-04-01,228901.0
1991-07-01,230592.0
1991-10-01,254177.0
1992-01-01,230072.0
1992-04-01,241458.0
1992-07-01,247516.0
1992-10-01,250510.0
1993-01-01,266632.0
1993-04-01,295950.0
1993-07-01,307405.0
1993-10-01,321185.0
1994-01-01,316511.0
1994-04-01,315223.0
1994-07-01,323052.0
1994-10-01,338257.0
1995-01-01,333146.0
1995-04-01,346792.0
1995-07-01,352834.0
1995-10-01,378866.0
1996-01-01,400237.0
1996-04-01,410786.0
1996-07-01,418512.0
1996-10-01,477376.0
1997-01-01,466338.0
1997-04-01,508506.0
1997-07-01,528378.0
1997-10-01,569164.0
1998-01-01,611841.0
1998-04-01,660714.0
1998-07-01,725379.0
1998-10-01,766885.0
1999-01-01,766500.0
1999-04-01,798651.0
1999-07-01,854649.0
1999-10-01,942027.0
2000-01-01,1019075.0
2000-04-01,1040029.0
2000-07-01,1054200.0
2000-10-01,1110238.0
2001-01-01,1108430.0
2001-04-01,1125617.0
2001-07-01,1223916.0
2001-10-01,1195311.0
2002-01-01,1173469.0
2002-04-01,1162940.0
2002-07-01,1166055.0
2002-10-01,1169798.0
2003-01-01,1188298.0
2003-04-01,1317967.0
2003-07-01,1308116.0
2003-10-01,1299878.0
2004-01-01,1366224.0
2004-04-01,1445822.0
2004-07-01,1449139.0
2004-10-01,1550918.0
2005-01-01,1541789.0
2005-04-01,1594329.0
2005-07-01,1603325.0
2005-10-01,1620881.0
2006-01-01,1653359.0
2006-04-01,1724312.0
2006-07-01,1733201.0
2006-10-01,1721848.0
2007-01-01,1759415.0
2007-04-01,1858538.0
2007-07-01,2066923.0
2007-10-01,2240285.0
2008-01-01,2444587.0
2008-04-01,2418315.0
2008-07-01,2783806.0
2008-10-01,2609993.0
2009-01-01,2310320.0
2009-04-01,2105136.0
2009-07-01,1955052.0
2009-10-01,1836468.0
2010-01-01,1751419.0
2010-04-01,1710226.0
2010-07-01,1651620.0
2010-10-01,1641902.0
2011-01-01,1599505.0
2011-04-01,1634509.0
2011-07-01,1655474.0
2011-10-01,1593830.0
2012-01-01,1555799.0
2012-04-01,1592432.0
2012-07-01,1605427.0
2012-10-01,1630063.0
2013-01-01,1619951.0
2013-04-01,1741690.0
2013-07-01,1744128.0
2013-10-01,1824556.0
2014-01-01,1868604.0
2014-04-01,1917484.0
2014-07-01,1981205.0
2014-10-01,2021553.0
2015-01-01,2009920.0
2015-04-01,2051944.0
2015-07-01,2061729.0
2015-10-01,2063145.0
2016-01-01,2095547.0
2016-04-01,2173791.0
2016-07-01,2142467.0
2016-10-01,2145448.0
2017-01-01,2129434.0
2017-04-01,2186862.0
2017-07-01,2178244.0
2017-10-01,2148720.0
2018-01-01,2118208.0
2018-04-01,2140310.0
2018-07-01,2103443.0
2018-10-01,2138803.0
2019-01-01,2053657.0
2019-04-01,2073403.0
2019-07-01,2089583.0
2019-10-01,2068491.0
2020-01-01,2588644.0
2020-04-01,2221580.0
2020-07-01,2114112.0
2020-10-01,2122510.0
2021-01-01,2167448.0
2021-04-01,2217861.0
2021-07-01,2234560.0
2021-10-01,2294434.0
