DATE,NCBDBIQ027S
1945-10-01,24000.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,24995.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,27843.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,32137.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,35036.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,36705.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,40061.0
1952-01-01,41201.0
1952-04-01,42647.0
1952-07-01,43816.0
1952-10-01,44828.0
1953-01-01,45627.0
1953-04-01,46567.0
1953-07-01,47147.0
1953-10-01,48414.0
1954-01-01,49314.0
1954-04-01,50208.0
1954-07-01,51583.0
1954-10-01,52078.0
1955-01-01,52555.0
1955-04-01,53159.0
1955-07-01,53624.0
1955-10-01,54926.0
1956-01-01,55348.0
1956-04-01,56235.0
1956-07-01,57414.0
1956-10-01,58418.0
1957-01-01,59863.0
1957-04-01,61295.0
1957-07-01,62852.0
1957-10-01,64494.0
1958-01-01,66653.0
1958-04-01,67808.0
1958-07-01,69258.0
1958-10-01,70373.0
1959-01-01,70959.0
1959-04-01,71627.0
1959-07-01,72264.0
1959-10-01,73109.0
1960-01-01,73643.0
1960-04-01,74654.0
1960-07-01,75671.0
1960-10-01,76985.0
1961-01-01,77200.0
1961-04-01,79256.0
1961-07-01,80254.0
1961-10-01,81705.0
1962-01-01,82568.0
1962-04-01,84073.0
1962-07-01,84921.0
1962-10-01,85841.0
1963-01-01,86793.0
1963-04-01,87682.0
1963-07-01,88336.0
1963-10-01,89382.0
1964-01-01,90039.0
1964-04-01,91251.0
1964-07-01,92139.0
1964-10-01,93533.0
1965-01-01,94189.0
1965-04-01,95668.0
1965-07-01,97560.0
1965-10-01,98057.0
1966-01-01,101043.0
1966-04-01,103651.0
1966-07-01,106689.0
1966-10-01,109096.0
1967-01-01,113294.0
1967-04-01,117478.0
1967-07-01,122009.0
1967-10-01,125166.0
1968-01-01,128216.0
1968-04-01,131662.0
1968-07-01,136491.0
1968-10-01,139274.0
1969-01-01,143342.0
1969-04-01,146657.0
1969-07-01,150245.0
1969-10-01,152356.0
1970-01-01,157113.0
1970-04-01,162692.0
1970-07-01,168518.0
1970-10-01,173889.0
1971-01-01,180555.0
1971-04-01,184497.0
1971-07-01,188691.0
1971-10-01,191896.0
1972-01-01,196002.0
1972-04-01,200569.0
1972-07-01,203414.0
1972-10-01,205352.0
1973-01-01,206028.0
1973-04-01,209771.0
1973-07-01,213220.0
1973-10-01,217721.0
1974-01-01,222690.0
1974-04-01,229232.0
1974-07-01,236357.0
1974-10-01,243170.0
1975-01-01,254526.0
1975-04-01,261258.0
1975-07-01,265658.0
1975-10-01,270077.0
1976-01-01,278165.0
1976-04-01,284516.0
1976-07-01,290157.0
1976-10-01,296826.0
1977-01-01,306027.0
1977-04-01,312705.0
1977-07-01,320704.0
1977-10-01,329676.0
1978-01-01,336357.0
1978-04-01,345610.0
1978-07-01,353531.0
1978-10-01,361147.0
1979-01-01,370006.0
1979-04-01,380512.0
1979-07-01,390286.0
1979-10-01,397461.0
1980-01-01,412059.0
1980-04-01,431388.0
1980-07-01,437306.0
1980-10-01,439488.0
1981-01-01,452370.0
1981-04-01,469953.0
1981-07-01,483822.0
1981-10-01,492376.0
1982-01-01,511040.0
1982-04-01,521369.0
1982-07-01,531636.0
1982-10-01,533077.0
1983-01-01,545301.0
1983-04-01,556969.0
1983-07-01,565361.0
1983-10-01,567652.0
1984-01-01,583617.0
1984-04-01,605223.0
1984-07-01,628268.0
1984-10-01,657987.0
1985-01-01,682669.0
1985-04-01,715218.0
1985-07-01,739841.0
1985-10-01,777480.0
1986-01-01,807745.0
1986-04-01,842883.0
1986-07-01,874104.0
1986-10-01,885353.0
1987-01-01,911433.0
1987-04-01,932274.0
1987-07-01,952968.0
1987-10-01,974107.0
1988-01-01,998872.0
1988-04-01,1034690.0
1988-07-01,1061889.0
1988-10-01,1089317.0
1989-01-01,1113576.0
1989-04-01,1148350.0
1989-07-01,1166999.0
1989-10-01,1183681.0
1990-01-01,1208939.0
1990-04-01,1228355.0
1990-07-01,1238704.0
1990-10-01,1240172.0
1991-01-01,1262042.0
1991-04-01,1286441.0
1991-07-01,1294169.0
1991-10-01,1299396.0
1992-01-01,1330818.0
1992-04-01,1352584.0
1992-07-01,1365248.0
1992-10-01,1379895.0
1993-01-01,1445589.0
1993-04-01,1503576.0
1993-07-01,1548852.0
1993-10-01,1580574.0
1994-01-01,1630903.0
1994-04-01,1661478.0
1994-07-01,1679354.0
1994-10-01,1699387.0
1995-01-01,1722105.0
1995-04-01,1761207.0
1995-07-01,1771961.0
1995-10-01,1785204.0
1996-01-01,1824895.0
1996-04-01,1860871.0
1996-07-01,1868210.0
1996-10-01,1876162.0
1997-01-01,1916803.0
1997-04-01,1963972.0
1997-07-01,2014135.0
1997-10-01,2021164.0
1998-01-01,2119864.0
1998-04-01,2214311.0
1998-07-01,2255163.0
1998-10-01,2266737.0
1999-01-01,2348031.0
1999-04-01,2419949.0
1999-07-01,2495588.0
1999-10-01,2511245.0
2000-01-01,2585322.0
2000-04-01,2652975.0
2000-07-01,2703036.0
2000-10-01,2700132.0
2001-01-01,2756544.0
2001-04-01,2849940.0
2001-07-01,2867505.0
2001-10-01,2899185.0
2002-01-01,2925332.0
2002-04-01,2935549.0
2002-07-01,2916726.0
2002-10-01,2910256.0
2003-01-01,2917433.0
2003-04-01,2945257.0
2003-07-01,2978819.0
2003-10-01,2963643.0
2004-01-01,3009336.0
2004-04-01,3004972.0
2004-07-01,3008511.0
2004-10-01,2994400.0
2005-01-01,3004939.0
2005-04-01,2997462.0
2005-07-01,3011306.0
2005-10-01,2992688.0
2006-01-01,3019366.0
2006-04-01,3076815.0
2006-07-01,3096399.0
2006-10-01,3145837.0
2007-01-01,3200183.0
2007-04-01,3306218.0
2007-07-01,3317513.0
2007-10-01,3352608.0
2008-01-01,3399256.0
2008-04-01,3499304.0
2008-07-01,3536033.0
2008-10-01,3551066.0
2009-01-01,3624950.0
2009-04-01,3682023.0
2009-07-01,3699936.0
2009-10-01,3725726.0
2010-01-01,3797487.0
2010-04-01,3842494.0
2010-07-01,3929086.0
2010-10-01,3971185.0
2011-01-01,4024939.0
2011-04-01,4081296.0
2011-07-01,4140334.0
2011-10-01,4171988.0
2012-01-01,4261149.0
2012-04-01,4336018.0
2012-07-01,4441169.0
2012-10-01,4551411.0
2013-01-01,4608084.0
2013-04-01,4675130.0
2013-07-01,4806888.0
2013-10-01,4823079.0
2014-01-01,4922469.0
2014-04-01,5001222.0
2014-07-01,5069822.0
2014-10-01,5144045.0
2015-01-01,5264231.0
2015-04-01,5423054.0
2015-07-01,5532182.0
2015-10-01,5554365.0
2016-01-01,5694401.0
2016-04-01,5785545.0
2016-07-01,5859174.0
2016-10-01,5849223.0
2017-01-01,5975153.0
2017-04-01,6055513.0
2017-07-01,6130112.0
2017-10-01,6175127.0
2018-01-01,6277628.0
2018-04-01,6281313.0
2018-07-01,6322082.0
2018-10-01,6326634.0
2019-01-01,6463497.0
2019-04-01,6539540.0
2019-07-01,6612027.0
2019-10-01,6596656.0
2020-01-01,6830545.0
2020-04-01,7189876.0
2020-07-01,7205896.0
2020-10-01,7213373.0
2021-01-01,7339193.0
2021-04-01,7350011.0
2021-07-01,7411177.0
2021-10-01,7390396.0
