DATE,NNBLL
1945-10-01,11287.00
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,14019.00
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,15781.00
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,17157.00
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,18539.00
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,21645.00
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,24938.00
1952-01-01,25464.00
1952-04-01,26603.00
1952-07-01,27163.0
1952-10-01,27439.00
1953-01-01,27602.00
1953-04-01,28454.00
1953-07-01,28988.00
1953-10-01,28357.00
1954-01-01,28804.0
1954-04-01,29908.0
1954-07-01,30885.0
1954-10-01,30915.00
1955-01-01,31602.00
1955-04-01,33306.0
1955-07-01,34494.00
1955-10-01,34838.00
1956-01-01,35454.0
1956-04-01,36908.0
1956-07-01,37909.0
1956-10-01,37929.00
1957-01-01,38245.00
1957-04-01,39336.00
1957-07-01,40085.0
1957-10-01,40378.00
1958-01-01,40839.0
1958-04-01,42234.0
1958-07-01,43310.0
1958-10-01,44180.00
1959-01-01,45645.00
1959-04-01,48026.00
1959-07-01,49616.00
1959-10-01,50249.00
1960-01-01,51424.00
1960-04-01,53204.00
1960-07-01,54374.0
1960-10-01,55024.00
1961-01-01,56905.0
1961-04-01,58707.00
1961-07-01,60612.00
1961-10-01,61717.00
1962-01-01,63517.0
1962-04-01,65954.00
1962-07-01,67700.0
1962-10-01,69302.00
1963-01-01,71203.00
1963-04-01,74023.00
1963-07-01,75981.00
1963-10-01,77972.00
1964-01-01,79809.00
1964-04-01,82678.0
1964-07-01,84749.00
1964-10-01,86267.00
1965-01-01,88375.0
1965-04-01,91528.0
1965-07-01,93708.00
1965-10-01,95594.00
1966-01-01,98991.00
1966-04-01,102189.00
1966-07-01,103714.00
1966-10-01,105278.00
1967-01-01,107112.00
1967-04-01,110534.00
1967-07-01,112844.00
1967-10-01,115611.00
1968-01-01,117514.0
1968-04-01,121388.00
1968-07-01,123688.0
1968-10-01,126582.00
1969-01-01,129653.00
1969-04-01,134786.00
1969-07-01,138610.00
1969-10-01,141905.00
1970-01-01,135076.00
1970-04-01,140022.0
1970-07-01,144693.00
1970-10-01,148557.00
1971-01-01,152694.0
1971-04-01,160360.0
1971-07-01,165708.00
1971-10-01,171162.00
1972-01-01,175928.00
1972-04-01,186158.00
1972-07-01,193172.0
1972-10-01,202550.00
1973-01-01,212979.0
1973-04-01,224678.00
1973-07-01,229626.0
1973-10-01,230141.00
1974-01-01,239051.0
1974-04-01,250896.00
1974-07-01,260881.00
1974-10-01,267249.00
1975-01-01,272749.0
1975-04-01,279857.0
1975-07-01,284187.0
1975-10-01,287601.00
1976-01-01,295607.0
1976-04-01,303302.0
1976-07-01,310604.00
1976-10-01,317082.00
1977-01-01,327623.0
1977-04-01,340345.0
1977-07-01,350362.00
1977-10-01,359811.00
1978-01-01,370564.00
1978-04-01,387212.00
1978-07-01,403623.0
1978-10-01,418206.00
1979-01-01,430837.0
1979-04-01,455968.0
1979-07-01,476415.00
1979-10-01,492017.0
1980-01-01,509472.00
1980-04-01,525618.0
1980-07-01,541012.00
1980-10-01,555061.00
1981-01-01,573155.00
1981-04-01,591750.0
1981-07-01,605455.0
1981-10-01,619777.00
1982-01-01,631397.0
1982-04-01,650036.0
1982-07-01,667117.00
1982-10-01,677654.0
1983-01-01,695767.00
1983-04-01,712881.00
1983-07-01,729855.0
1983-10-01,748980.0
1984-01-01,775239.00
1984-04-01,807403.0
1984-07-01,836358.0
1984-10-01,862648.00
1985-01-01,886857.00
1985-04-01,915931.00
1985-07-01,929119.0
1985-10-01,933047.00
1986-01-01,951070.0
1986-04-01,972756.00
1986-07-01,988495.00
1986-10-01,1000195.00
1987-01-01,1016511.00
1987-04-01,1031021.0
1987-07-01,1044727.0
1987-10-01,1064863.0
1988-01-01,1083585.0
1988-04-01,1109191.0
1988-07-01,1133921.0
1988-10-01,1149256.0
1989-01-01,1160370.0
1989-04-01,1175608.0
1989-07-01,1187455.0
1989-10-01,1197882.0
1990-01-01,1201249.0
1990-04-01,1202302.0
1990-07-01,1202731.0
1990-10-01,1197957.0
1991-01-01,1191102.0
1991-04-01,1194246.0
1991-07-01,1178337.0
1991-10-01,1169744.0
1992-01-01,1162450.0
1992-04-01,1158199.0
1992-07-01,1150049.0
1992-10-01,1143421.0
1993-01-01,1131448.0
1993-04-01,1130992.0
1993-07-01,1126103.0
1993-10-01,1123465.0
1994-01-01,1122256.0
1994-04-01,1129432.0
1994-07-01,1135531.0
1994-10-01,1138806.0
1995-01-01,1147745.0
1995-04-01,1160622.0
1995-07-01,1174013.0
1995-10-01,1185165.0
1996-01-01,1198506.0
1996-04-01,1220295.0
1996-07-01,1240931.0
1996-10-01,1258226.0
1997-01-01,1279069.0
1997-04-01,1306894.0
1997-07-01,1333581.0
1997-10-01,1362776.0
1998-01-01,1403132.0
1998-04-01,1454990.0
1998-07-01,1499548.0
1998-10-01,1545465.0
1999-01-01,1590848.0
1999-04-01,1631353.0
1999-07-01,1684180.0
1999-10-01,1742734.0
2000-01-01,1786736.0
2000-04-01,1850254.0
2000-07-01,1887939.0
2000-10-01,1938641.0
2001-01-01,1975207.0
2001-04-01,2021773.0
2001-07-01,2058413.0
2001-10-01,2102417.0
2002-01-01,2138108.0
2002-04-01,2180951.0
2002-07-01,2219549.0
2002-10-01,2259770.0
2003-01-01,2276204.0
2003-04-01,2295825.0
2003-07-01,2313294.0
2003-10-01,2334573.0
2004-01-01,2399968.0
2004-04-01,2462450.0
2004-07-01,2524379.0
2004-10-01,2588536.0
2005-01-01,2663857.0
2005-04-01,2750766.0
2005-07-01,2837106.0
2005-10-01,2927083.0
2006-01-01,3027038.0
2006-04-01,3134256.0
2006-07-01,3236617.0
2006-10-01,3342403.0
2007-01-01,3456941.0
2007-04-01,3573087.0
2007-07-01,3688449.0
2007-10-01,3806854.0
2008-01-01,3890753.0
2008-04-01,3978255.0
2008-07-01,4049871.0
2008-10-01,4125384.0
2009-01-01,4110047.0
2009-04-01,4079672.0
2009-07-01,4047185.0
2009-10-01,4016244.0
2010-01-01,4006697.0
2010-04-01,3999158.0
2010-07-01,3996008.0
2010-10-01,3986717.0
2011-01-01,3964840.0
2011-04-01,3944423.0
2011-07-01,3923996.0
2011-10-01,3912415.0
2012-01-01,3951308.0
2012-04-01,3996658.0
2012-07-01,4039436.0
2012-10-01,4085205.0
2013-01-01,4102937.0
2013-04-01,4131100.0
2013-07-01,4157621.0
2013-10-01,4189634.0
2014-01-01,4253065.0
2014-04-01,4323296.0
2014-07-01,4393991.0
2014-10-01,4472411.0
2015-01-01,4525078.0
2015-04-01,4589918.0
2015-07-01,4654844.0
2015-10-01,4720068.0
2016-01-01,4810420.0
2016-04-01,4909403.0
2016-07-01,5004486.0
2016-10-01,5107511.0
2017-01-01,5218542.0
2017-04-01,5335450.0
2017-07-01,5450173.0
2017-10-01,5571415.0
2018-01-01,5638896.0
2018-04-01,5711894.0
2018-07-01,5785670.0
2018-10-01,5863601.0
2019-01-01,5925567.0
2019-04-01,5987161.0
2019-07-01,6062201.0
2019-10-01,6136501.0
2020-01-01,6293658.0
2020-04-01,6531575.0
2020-07-01,6624157.0
2020-10-01,6653346.0
2021-01-01,6714335.0
2021-04-01,6752664.0
2021-07-01,6776914.0
2021-10-01,6890532.0
